customer_id,name,email,country,first_name,last_name,buyer_category
26,Felicia Jordan,indicate,Saint Lucia,Felicia,Jordan,Rare Buyer
27,Lori Welch,vanessa77@example.org,Eritrea,Lori,Welch,Rare Buyer
28,Tammy Rose,jacksonryan@example.org,,Tammy,Rose,Rare Buyer
29,Sarah Black,michelleflores@example.net,Cape Verde,Sarah,Black,Rare Buyer
30,Kelly Oconnor,qle@example.net,Djibouti,Kelly,Oconnor,Rare Buyer
31,James Caldwell,jonesjacob@example.com,,James,Caldwell,Rare Buyer
32,Adam White,boneill@example.org,France,Adam,White,Occasional Buyer
33,Paul Gonzales PhD,huntnoah@example.org,Norway,Paul,Gonzales PhD,Rare Buyer
34,Michael Sweeney,debbie02@example.org,Fiji,Michael,Sweeney,Rare Buyer
35,Jasmine Stone,pirwin@example.com,,Jasmine,Stone,Rare Buyer
36,Tina Cannon,stephaniepreston@example.com,San Marino,Tina,Cannon,Rare Buyer
37,Chelsea Davis,laurenhughes@example.net,Germany,Chelsea,Davis,Rare Buyer
38,Brenda Wheeler,averycesar@example.com,Mauritania,Brenda,Wheeler,Rare Buyer
39,Michael Randolph,brianarmstrong@example.net,Saint Kitts and Nevis,Michael,Randolph,Rare Buyer
40,Chad Hoover,mitchellmary@example.com,Micronesia,Chad,Hoover,Rare Buyer
41,Patrick Stokes,alyssareese@example.com,Swaziland,Patrick,Stokes,Rare Buyer
42,Richard Williams Jr.,abigailscott@example.net,,Richard,Williams Jr.,Rare Buyer
43,Cynthia Stewart,csimpson@example.net,Ghana,Cynthia,Stewart,Rare Buyer
44,Hannah Thompson,bforbes@example.org,Turks and Caicos Islands,Hannah,Thompson,Rare Buyer
45,Jacob Martin,hmarshall@example.org,,Jacob,Martin,Rare Buyer
46,Donna Lowe,michael31@example.net,,Donna,Lowe,Rare Buyer
47,Brittany Shelton,juliemartinez@example.net,Equatorial Guinea,Brittany,Shelton,Rare Buyer
48,Howard Jenkins,carlspears@example.org,Pitcairn Islands,Howard,Jenkins,Rare Buyer
49,Erin Jimenez,nellis@example.org,Pakistan,Erin,Jimenez,Rare Buyer
50,Elizabeth Hamilton,raymondnewton@example.net,Isle of Man,Elizabeth,Hamilton,Rare Buyer
51,Jessica Banks,brownwalter@example.com,French Southern Territories,Jessica,Banks,Rare Buyer
52,Derrick Duarte,david80@example.com,Central African Republic,Derrick,Duarte,Rare Buyer
53,Joseph Smith,burnsalejandro@example.net,Iran,Joseph,Smith,Rare Buyer
54,Christopher Wu,xmartinez@example.com,Estonia,Christopher,Wu,Occasional Buyer
56,Kayla Wells,luis37@example.net,Czech Republic,Kayla,Wells,Rare Buyer
57,Arthur Manning,conradsarah@example.org,,Arthur,Manning,Rare Buyer
58,Jeffrey Tran,lawrence29@example.org,Senegal,Jeffrey,Tran,Rare Buyer
59,Todd Gordon,kmendez@example.org,Malawi,Todd,Gordon,Rare Buyer
60,James Nguyen,manage,Swaziland,James,Nguyen,Rare Buyer
61,Joseph Schneider,twaller@example.org,Nauru,Joseph,Schneider,Rare Buyer
62,Alyssa Armstrong,nicholascarpenter@example.org,Pakistan,Alyssa,Armstrong,Rare Buyer
63,Gwendolyn Duffy,yscott@example.net,,Gwendolyn,Duffy,Rare Buyer
64,Erin Espinoza,mistymartin@example.net,,Erin,Espinoza,Occasional Buyer
65,Ruth Sutton,doctor,Albania,Ruth,Sutton,Rare Buyer
66,Nathan Joseph,benefit,Swaziland,Nathan,Joseph,Rare Buyer
67,Annette Stone,floresmichelle@example.net,French Southern Territories,Annette,Stone,Rare Buyer
68,Erin Lang,thompsonchelsea@example.org,Tunisia,Erin,Lang,Rare Buyer
69,Janet Marshall,youngjesus@example.org,Saint Pierre and Miquelon,Janet,Marshall,Rare Buyer
70,Shane Cannon,joseph88@example.com,Central African Republic,Shane,Cannon,Rare Buyer
71,William Hurley,child,Mauritania,William,Hurley,Rare Buyer
72,Paula Mitchell,robert25@example.net,Australia,Paula,Mitchell,Rare Buyer
73,Michele Olson,andersonkevin@example.com,Philippines,Michele,Olson,Rare Buyer
74,Robert Harrison,allen46@example.com,Kuwait,Robert,Harrison,Rare Buyer
75,Lauren Boyd,xmiller@example.org,China,Lauren,Boyd,Rare Buyer
76,Darren Turner,it,Bahrain,Darren,Turner,Rare Buyer
77,Kiara Martin,xwalker@example.net,,Kiara,Martin,Rare Buyer
78,Christy Sanchez,ashlee67@example.org,Bouvet Island (Bouvetoya),Christy,Sanchez,Rare Buyer
79,Michelle Reynolds,matthewhamilton@example.net,Sweden,Michelle,Reynolds,Rare Buyer
80,Adam Harris,alexanderanderson@example.com,Jordan,Adam,Harris,Rare Buyer
81,Dylan Stanley,grayann@example.net,Saint Lucia,Dylan,Stanley,Rare Buyer
82,Sarah Harmon,travis61@example.org,Vanuatu,Sarah,Harmon,Rare Buyer
84,Margaret Barnes,qcox@example.com,Uzbekistan,Margaret,Barnes,Rare Buyer
85,Denise Haas,khanricky@example.com,Cape Verde,Denise,Haas,Rare Buyer
86,Leah Green,mathewsdavid@example.org,,Leah,Green,Occasional Buyer
87,Juan Garcia,jennifer24@example.net,Italy,Juan,Garcia,Rare Buyer
88,Vanessa Morgan,webblisa@example.org,Canada,Vanessa,Morgan,Rare Buyer
89,Eric Rodriguez,hornevictor@example.org,,Eric,Rodriguez,Rare Buyer
90,Jessica Bates,word,Germany,Jessica,Bates,Rare Buyer
91,Nicole Harper,lynn76@example.com,Antarctica (the territory South of 60 deg S),Nicole,Harper,Rare Buyer
92,Nancy Chavez,maguilar@example.org,,Nancy,Chavez,Rare Buyer
93,Laurie Lynn,kathleenhoward@example.com,,Laurie,Lynn,Rare Buyer
94,Kenneth Sanchez,jacksonleah@example.org,Congo,Kenneth,Sanchez,Rare Buyer
95,Matthew Scott,through,Dominica,Matthew,Scott,Rare Buyer
96,Jennifer Kirby,srusso@example.com,Malta,Jennifer,Kirby,Rare Buyer
97,Juan Douglas,davidcooper@example.org,Taiwan,Juan,Douglas,Rare Buyer
98,Sarah Zuniga,levi94@example.net,Bahamas,Sarah,Zuniga,Rare Buyer
99,Crystal Burnett,xgrant@example.com,United Arab Emirates,Crystal,Burnett,Rare Buyer
100,Candace Hubbard,maryvasquez@example.org,,Candace,Hubbard,Rare Buyer
101,Sara Horton,possible,Turks and Caicos Islands,Sara,Horton,Rare Buyer
102,Christopher Murphy,race,Barbados,Christopher,Murphy,Occasional Buyer
103,Jon Barnett,tracycarrillo@example.org,Antarctica (the territory South of 60 deg S),Jon,Barnett,Rare Buyer
104,Isaiah Morrison,gonzalezstephanie@example.net,Andorra,Isaiah,Morrison,Rare Buyer
105,Todd Cantu,smithanthony@example.net,Qatar,Todd,Cantu,Rare Buyer
107,Rebecca Harris,lmurray@example.org,Tajikistan,Rebecca,Harris,Rare Buyer
108,Erin Contreras,andreareyes@example.org,Faroe Islands,Erin,Contreras,Rare Buyer
109,Randy Lopez,parkertimothy@example.com,Tanzania,Randy,Lopez,Rare Buyer
110,Kimberly Osborne,dianesmith@example.net,,Kimberly,Osborne,Rare Buyer
111,Carrie Curtis,tjames@example.org,Armenia,Carrie,Curtis,Rare Buyer
112,Jacob Hoover,quinncody@example.net,Monaco,Jacob,Hoover,Rare Buyer
113,Angel Whitney,family,Nicaragua,Angel,Whitney,Rare Buyer
114,Chloe Johnston,later,Andorra,Chloe,Johnston,Rare Buyer
115,Robert Brown,staceygarcia@example.com,Equatorial Guinea,Robert,Brown,Rare Buyer
116,Nicole Reed,usually,Vanuatu,Nicole,Reed,Rare Buyer
117,Mario Glover,vasquezdonald@example.net,Macao,Mario,Glover,Rare Buyer
118,Kimberly Fisher,thomasduncan@example.org,Sri Lanka,Kimberly,Fisher,Rare Buyer
119,Shannon Oliver,mistypace@example.com,Netherlands Antilles,Shannon,Oliver,Rare Buyer
120,Nathan Williams,micheledavis@example.org,Romania,Nathan,Williams,Rare Buyer
121,Christopher Elliott,laugh,Guadeloupe,Christopher,Elliott,Rare Buyer
122,Jonathan Collins,jamiehudson@example.org,Iran,Jonathan,Collins,Rare Buyer
123,Stephanie Kaufman,joseph50@example.org,,Stephanie,Kaufman,Occasional Buyer
124,Donald Carrillo,wdelgado@example.com,Portugal,Donald,Carrillo,Rare Buyer
125,Maria Garcia,ayersdenise@example.org,Serbia,Maria,Garcia,Rare Buyer
126,Thomas Hinton,glenn00@example.net,Moldova,Thomas,Hinton,Rare Buyer
127,Stacey Cox,smithjeffrey@example.net,Cameroon,Stacey,Cox,Rare Buyer
128,Lisa Allen,william05@example.org,Martinique,Lisa,Allen,Rare Buyer
129,Jordan Jones,davisjennifer@example.com,Niger,Jordan,Jones,Rare Buyer
130,Andrew Riley,mariah09@example.org,Saint Vincent and the Grenadines,Andrew,Riley,Rare Buyer
131,Sherry Petersen,dcruz@example.net,Sao Tome and Principe,Sherry,Petersen,Rare Buyer
132,Jonathan Quinn,vross@example.net,Jamaica,Jonathan,Quinn,Occasional Buyer
133,Randy Walton,tonijones@example.org,Falkland Islands (Malvinas),Randy,Walton,Rare Buyer
134,Jasmine Johnson,sheila60@example.net,,Jasmine,Johnson,Rare Buyer
135,Jennifer Green,lindsaymorrison@example.com,,Jennifer,Green,Rare Buyer
136,Larry Berry,andrewharper@example.com,United Arab Emirates,Larry,Berry,Rare Buyer
137,Michael Cook,kenneth76@example.com,Vanuatu,Michael,Cook,Rare Buyer
138,Tina Smith,sarahstevens@example.org,San Marino,Tina,Smith,Rare Buyer
139,Crystal Miller,jonathan19@example.org,Ireland,Crystal,Miller,Rare Buyer
140,Breanna Diaz,jbrewer@example.com,,Breanna,Diaz,Rare Buyer
141,Jeffrey Simpson,bryce42@example.net,Saint Helena,Jeffrey,Simpson,Rare Buyer
142,Robert Mclaughlin,velasquezcrystal@example.com,Equatorial Guinea,Robert,Mclaughlin,Rare Buyer
143,Erik Gonzalez,russellsantiago@example.com,Jersey,Erik,Gonzalez,Rare Buyer
144,David Anderson,gravessandra@example.org,Saint Helena,David,Anderson,Rare Buyer
145,Vernon Rose,philliprosario@example.org,Vanuatu,Vernon,Rose,Rare Buyer
146,Kyle Montoya,stacey69@example.com,Finland,Kyle,Montoya,Rare Buyer
147,Brooke Shannon,sarahfrancis@example.net,Tokelau,Brooke,Shannon,Rare Buyer
148,Shannon Williams,jake08@example.com,,Shannon,Williams,Rare Buyer
149,Joanne Guzman,caldwellkristen@example.com,Tonga,Joanne,Guzman,Rare Buyer
150,Bryan Brooks,bsnyder@example.com,Congo,Bryan,Brooks,Occasional Buyer
151,Sarah Doyle,dbeard@example.net,Saint Lucia,Sarah,Doyle,Rare Buyer
152,Jose Sanchez,a,Saint Helena,Jose,Sanchez,Rare Buyer
153,Juan Jones,natalieblankenship@example.com,,Juan,Jones,Rare Buyer
154,Erin Mccoy,anthony11@example.net,Venezuela,Erin,Mccoy,Rare Buyer
155,Andrea Hurley,event,Netherlands Antilles,Andrea,Hurley,Rare Buyer
157,Alexandria Grimes,michaelwhite@example.com,New Zealand,Alexandria,Grimes,Rare Buyer
158,Kenneth Graham,tammyallen@example.net,Costa Rica,Kenneth,Graham,Rare Buyer
159,Dawn Malone,domingueztonya@example.org,,Dawn,Malone,Rare Buyer
160,Kerry Reeves,terrimcintosh@example.com,,Kerry,Reeves,Rare Buyer
161,Laura Adams,nbanks@example.net,Cote d'Ivoire,Laura,Adams,Rare Buyer
162,Nichole Scott,martinlinda@example.com,Vanuatu,Nichole,Scott,Rare Buyer
163,Sherri Harrell,brendawaters@example.org,,Sherri,Harrell,Rare Buyer
164,Lisa Adams,imartin@example.com,French Guiana,Lisa,Adams,Rare Buyer
165,Mary Johnston,matthew26@example.com,Morocco,Mary,Johnston,Rare Buyer
166,Jamie Murphy,jeffreycooper@example.org,Kenya,Jamie,Murphy,Occasional Buyer
167,John Burke,robinscott@example.com,Kyrgyz Republic,John,Burke,Rare Buyer
168,Eric Kirby,jfoster@example.com,Nepal,Eric,Kirby,Rare Buyer
169,Michael Tucker,kvazquez@example.net,Cuba,Michael,Tucker,Rare Buyer
170,Gabriel Luna,smithbrandon@example.com,Armenia,Gabriel,Luna,Rare Buyer
171,Richard Hendrix,susanthomas@example.org,,Richard,Hendrix,Rare Buyer
172,Sean Acosta,discover,Russian Federation,Sean,Acosta,Occasional Buyer
173,Allison Burnett,xashley@example.com,Germany,Allison,Burnett,Rare Buyer
174,Allison Rosario,andrea25@example.net,British Indian Ocean Territory (Chagos Archipelago),Allison,Rosario,Rare Buyer
175,Regina Lopez,cassandra24@example.net,Estonia,Regina,Lopez,Rare Buyer
176,Mark Jackson,zacharyperez@example.org,Ecuador,Mark,Jackson,Rare Buyer
177,Alan Thompson,cunninghamshawn@example.net,Denmark,Alan,Thompson,Rare Buyer
178,Chad Rojas,kimberly53@example.net,United Arab Emirates,Chad,Rojas,Rare Buyer
179,Victoria Callahan,christopherbecker@example.net,Rwanda,Victoria,Callahan,Rare Buyer
180,Monica Davis,zrios@example.org,,Monica,Davis,Rare Buyer
181,Timothy Ward,matthewpotter@example.net,,Timothy,Ward,Rare Buyer
182,Amber Estrada,sarahmartinez@example.com,,Amber,Estrada,Rare Buyer
183,Linda Pacheco,williamschristopher@example.com,Latvia,Linda,Pacheco,Rare Buyer
184,Chelsea Turner,harrislindsey@example.com,Albania,Chelsea,Turner,Occasional Buyer
185,Mary Moses,jenniferjordan@example.net,Madagascar,Mary,Moses,Rare Buyer
186,Tara Wilson,powellandrew@example.net,Myanmar,Tara,Wilson,Rare Buyer
187,David Jimenez,kellerkayla@example.net,Sweden,David,Jimenez,Rare Buyer
188,William Rodriguez,rbrooks@example.net,Belize,William,Rodriguez,Rare Buyer
189,Melissa Kelly,donaldbrown@example.net,Niue,Melissa,Kelly,Rare Buyer
190,Jordan Valdez,mvargas@example.com,,Jordan,Valdez,Rare Buyer
191,Emily Buck,martin89@example.com,Finland,Emily,Buck,Rare Buyer
192,Ashley Buchanan,jamessalinas@example.com,Timor-Leste,Ashley,Buchanan,Rare Buyer
193,Jennifer Rosario,argue,,Jennifer,Rosario,Occasional Buyer
194,Samantha Benson,stevennguyen@example.net,Saint Barthelemy,Samantha,Benson,Rare Buyer
195,Bryce Torres,lvaughan@example.net,Mali,Bryce,Torres,Rare Buyer
196,James Elliott,eric75@example.com,,James,Elliott,Rare Buyer
197,Christopher Watson,tonya91@example.net,Maldives,Christopher,Watson,Rare Buyer
198,Jennifer Wong,mario93@example.com,Bahrain,Jennifer,Wong,Rare Buyer
199,Eric Mccarty,timothy57@example.net,United Arab Emirates,Eric,Mccarty,Rare Buyer
200,Diana Bennett,bakersharon@example.org,Australia,Diana,Bennett,Rare Buyer
201,James Maldonado,michellemiller@example.com,,James,Maldonado,Rare Buyer
202,Amanda Campbell,amanda48@example.com,,Amanda,Campbell,Rare Buyer
203,Jamie Leon,scottmorris@example.net,United Arab Emirates,Jamie,Leon,Rare Buyer
204,Charles Garcia,list,Bolivia,Charles,Garcia,Rare Buyer
205,Monique Dodson,qdavis@example.net,El Salvador,Monique,Dodson,Rare Buyer
206,Janet Schmidt,nrodriguez@example.com,Netherlands Antilles,Janet,Schmidt,Rare Buyer
207,Kimberly Brown,millershelby@example.org,Saint Vincent and the Grenadines,Kimberly,Brown,Rare Buyer
208,Eric Smith,maria23@example.com,Antigua and Barbuda,Eric,Smith,Rare Buyer
209,William Flores,brianoliver@example.com,Sweden,William,Flores,Rare Buyer
210,Michael Nelson,michellealexander@example.net,Marshall Islands,Michael,Nelson,Rare Buyer
211,Kathleen Shaw,rfarmer@example.com,Nauru,Kathleen,Shaw,Rare Buyer
212,Jeremy Frazier,csanford@example.com,Cameroon,Jeremy,Frazier,Rare Buyer
213,Nicole Hunt,marshallsean@example.net,Vietnam,Nicole,Hunt,Rare Buyer
214,Matthew Kennedy,bryanarnold@example.net,,Matthew,Kennedy,Rare Buyer
215,Charles Sanchez,force,,Charles,Sanchez,Rare Buyer
216,David Byrd,wrightjill@example.org,,David,Byrd,Occasional Buyer
217,Jeff Holmes,dayjennifer@example.net,,Jeff,Holmes,Rare Buyer
218,Beth Jones,robertgarcia@example.com,Czech Republic,Beth,Jones,Rare Buyer
219,Daniel Castillo,carolyn81@example.net,Niger,Daniel,Castillo,Rare Buyer
220,Ryan Harvey,matthewharrison@example.net,Gambia,Ryan,Harvey,Occasional Buyer
221,Angela Brown,cjones@example.com,,Angela,Brown,Rare Buyer
222,Michael Rodriguez,hundred,Sao Tome and Principe,Michael,Rodriguez,Rare Buyer
223,David Lambert,klin@example.com,Dominica,David,Lambert,Rare Buyer
224,Elizabeth Aguilar,browntyrone@example.org,Eritrea,Elizabeth,Aguilar,Rare Buyer
225,Frank Martinez,vanessa85@example.net,,Frank,Martinez,Rare Buyer
226,Steven Shelton,beardterri@example.com,Swaziland,Steven,Shelton,Rare Buyer
227,Victoria Mccullough,orowland@example.net,Mozambique,Victoria,Mccullough,Rare Buyer
228,Dennis Brady,griffithmargaret@example.org,,Dennis,Brady,Rare Buyer
229,Jeffrey Fritz,karen41@example.net,Papua New Guinea,Jeffrey,Fritz,Rare Buyer
230,Olivia Powell,elizabethmoon@example.com,,Olivia,Powell,Rare Buyer
231,Lisa Cain,matthew96@example.net,Montenegro,Lisa,Cain,Rare Buyer
232,Joel Parker,william57@example.net,Luxembourg,Joel,Parker,Rare Buyer
233,Jacqueline Webster,dawn56@example.com,Slovenia,Jacqueline,Webster,Rare Buyer
234,Kimberly Pruitt,hillashley@example.com,,Kimberly,Pruitt,Rare Buyer
235,Joanna Lowe,josephlester@example.com,,Joanna,Lowe,Rare Buyer
236,Alexander Vasquez,taylorariel@example.org,Philippines,Alexander,Vasquez,Rare Buyer
237,Christopher Boyd,kenneth37@example.com,,Christopher,Boyd,Rare Buyer
238,Nancy Gomez,robert45@example.org,Botswana,Nancy,Gomez,Rare Buyer
239,Lee Thomas,danielle60@example.org,Canada,Lee,Thomas,Rare Buyer
240,Mackenzie Erickson,mdavis@example.com,,Mackenzie,Erickson,Rare Buyer
241,Christopher Douglas,commercial,Antigua and Barbuda,Christopher,Douglas,Rare Buyer
242,Gregory Mccann,ehines@example.net,Kenya,Gregory,Mccann,Rare Buyer
243,Deborah Mendoza,burnsmatthew@example.com,,Deborah,Mendoza,Rare Buyer
244,Bruce Brown,keith67@example.org,Lesotho,Bruce,Brown,Rare Buyer
245,Martha Reid,steelekristen@example.net,Singapore,Martha,Reid,Rare Buyer
246,Martin Serrano,hpalmer@example.org,Lao People's Democratic Republic,Martin,Serrano,Rare Buyer
247,Patricia Morgan,frankderek@example.com,,Patricia,Morgan,Rare Buyer
248,Mackenzie Davis,live,New Zealand,Mackenzie,Davis,Rare Buyer
249,Kristy Hampton,rickeywilson@example.com,,Kristy,Hampton,Rare Buyer
250,Felicia Torres,jessica97@example.com,Slovakia (Slovak Republic),Felicia,Torres,Rare Buyer
251,Tyler Walter,zavaladanielle@example.com,Western Sahara,Tyler,Walter,Rare Buyer
252,Michelle Downs,brooksrebecca@example.org,Romania,Michelle,Downs,Rare Buyer
253,Scott Tanner,courtneywilliams@example.com,Mongolia,Scott,Tanner,Rare Buyer
254,Christopher Payne,stephenthompson@example.org,Tuvalu,Christopher,Payne,Rare Buyer
256,James Hampton,andrew05@example.org,Uzbekistan,James,Hampton,Rare Buyer
257,Taylor Dunn,michele32@example.org,Panama,Taylor,Dunn,Rare Buyer
258,Carmen Sanchez,monica14@example.com,Paraguay,Carmen,Sanchez,Rare Buyer
259,Jeffrey Blake,hatfieldcharles@example.net,United States of America,Jeffrey,Blake,Rare Buyer
260,Matthew Moore,memory,Malta,Matthew,Moore,Rare Buyer
261,Molly Hall,robinsongeorge@example.com,Slovenia,Molly,Hall,Rare Buyer
262,Barbara Rodriguez,usullivan@example.net,Cuba,Barbara,Rodriguez,Rare Buyer
263,Jasmin Davis,moranheidi@example.org,Argentina,Jasmin,Davis,Rare Buyer
264,Craig Larson,joseph38@example.net,Israel,Craig,Larson,Rare Buyer
265,Brent Salas,hendersonmeghan@example.com,,Brent,Salas,Rare Buyer
266,Joshua Becker,dog,,Joshua,Becker,Rare Buyer
267,James Richardson,serve,Afghanistan,James,Richardson,Rare Buyer
268,Katherine Johnson,kathleenhoward@example.net,Belarus,Katherine,Johnson,Occasional Buyer
269,Stacey Watkins,matthew95@example.com,Mayotte,Stacey,Watkins,Rare Buyer
270,Joanna Ali,angela61@example.com,Tonga,Joanna,Ali,Rare Buyer
271,Wendy Johnson,vobrien@example.org,Sudan,Wendy,Johnson,Rare Buyer
272,Terry Clark,veronica88@example.com,Solomon Islands,Terry,Clark,Rare Buyer
273,Aaron Marquez,nathan50@example.com,Philippines,Aaron,Marquez,Rare Buyer
274,Terry Nguyen,iingram@example.com,,Terry,Nguyen,Occasional Buyer
275,Daniel Lawson,taylordeanna@example.net,,Daniel,Lawson,Rare Buyer
276,William Ochoa,johnathanreeves@example.org,Bosnia and Herzegovina,William,Ochoa,Occasional Buyer
277,Darren Lutz,rich,,Darren,Lutz,Rare Buyer
278,Sara Norris,kschmidt@example.net,China,Sara,Norris,Rare Buyer
279,Scott Mcdonald,charlesvillarreal@example.org,,Scott,Mcdonald,Rare Buyer
280,Rhonda Nolan,qjones@example.net,,Rhonda,Nolan,Rare Buyer
281,Nancy Hunter,johnvasquez@example.com,Latvia,Nancy,Hunter,Rare Buyer
282,Eric Powers,theresa81@example.com,Russian Federation,Eric,Powers,Rare Buyer
283,Kayla Walker,gking@example.org,,Kayla,Walker,Rare Buyer
284,Andrew Gardner,analysis,Tajikistan,Andrew,Gardner,Rare Buyer
285,Shirley Glass,dshaffer@example.org,Philippines,Shirley,Glass,Rare Buyer
286,Lisa Spence,light,,Lisa,Spence,Rare Buyer
287,Matthew Wright,billy96@example.net,Switzerland,Matthew,Wright,Rare Buyer
288,Mr. Jose Turner IV,walterscharles@example.com,Malawi,Mr.,Jose Turner IV,Rare Buyer
289,Jennifer Horn,diane61@example.net,,Jennifer,Horn,Rare Buyer
290,Miranda Simon,annrodriguez@example.com,,Miranda,Simon,Rare Buyer
291,Christopher Phillips,ffarmer@example.org,Bahamas,Christopher,Phillips,Rare Buyer
292,Robert Thompson,pamela98@example.org,Panama,Robert,Thompson,Occasional Buyer
293,Joseph Flores,nicole14@example.com,Bahrain,Joseph,Flores,Rare Buyer
294,Brian Mcdonald,bernardhunter@example.org,Cook Islands,Brian,Mcdonald,Rare Buyer
295,Kimberly Collins,justin71@example.org,Montenegro,Kimberly,Collins,Rare Buyer
296,Danielle Davis,orobertson@example.net,Timor-Leste,Danielle,Davis,Rare Buyer
297,Paul Rodriguez,paulshields@example.net,Zimbabwe,Paul,Rodriguez,Rare Buyer
298,Jose Singh,rebeccadavis@example.net,,Jose,Singh,Rare Buyer
299,Johnny Webster,briannawatson@example.net,Germany,Johnny,Webster,Rare Buyer
300,Christopher Casey,cassandrawhite@example.com,Cayman Islands,Christopher,Casey,Rare Buyer
301,Miranda Pierce MD,haileycarrillo@example.org,United Arab Emirates,Miranda,Pierce MD,Rare Buyer
302,Breanna Ramos,melinda29@example.com,Gabon,Breanna,Ramos,Rare Buyer
303,Michael Hoover,james99@example.com,Israel,Michael,Hoover,Occasional Buyer
304,Christine Nguyen,kevin93@example.net,Cook Islands,Christine,Nguyen,Rare Buyer
305,Jake Summers,anthony19@example.org,Marshall Islands,Jake,Summers,Rare Buyer
306,David Hurst,georgeandrea@example.org,Netherlands,David,Hurst,Rare Buyer
307,Emma Williams,justin51@example.com,,Emma,Williams,Rare Buyer
308,Christy Cook,hwright@example.org,,Christy,Cook,Rare Buyer
309,Michelle James,james13@example.org,Malta,Michelle,James,Rare Buyer
310,Anthony Hunt,xvelazquez@example.net,Mauritania,Anthony,Hunt,Rare Buyer
311,Brandy Vaughn,ejoseph@example.com,,Brandy,Vaughn,Rare Buyer
312,Todd Martin,kgraham@example.org,Mali,Todd,Martin,Rare Buyer
313,Christopher Jenkins,crystalbrady@example.com,New Zealand,Christopher,Jenkins,Rare Buyer
314,Teresa Morales,hear,,Teresa,Morales,Rare Buyer
315,Loretta Freeman,harveythomas@example.org,,Loretta,Freeman,Rare Buyer
316,Travis Lopez,stephaniedavis@example.org,Slovenia,Travis,Lopez,Rare Buyer
317,Gregory Chavez,glennwilliams@example.org,Papua New Guinea,Gregory,Chavez,Rare Buyer
318,Jason Wu,slucas@example.net,French Polynesia,Jason,Wu,Rare Buyer
319,Carrie Warren,patrickchristine@example.com,Guinea-Bissau,Carrie,Warren,Rare Buyer
320,Heather Medina,james09@example.net,,Heather,Medina,Rare Buyer
321,Jacqueline Brady,clarkmaureen@example.org,Venezuela,Jacqueline,Brady,Rare Buyer
322,Sara Cowan,everettjonathan@example.org,,Sara,Cowan,Rare Buyer
323,Chad Chen,stacy86@example.net,Pakistan,Chad,Chen,Rare Buyer
324,Dustin Hahn,amber81@example.org,Romania,Dustin,Hahn,Rare Buyer
325,Scott Chase,andrewstaylor@example.org,Papua New Guinea,Scott,Chase,Rare Buyer
326,Anna Santana,hernandezchristopher@example.com,Afghanistan,Anna,Santana,Rare Buyer
327,Ashley Bishop,brian50@example.com,Germany,Ashley,Bishop,Rare Buyer
328,Lori Jackson,jonesjacqueline@example.net,Thailand,Lori,Jackson,Occasional Buyer
329,Jennifer Baxter,sextondarrell@example.net,,Jennifer,Baxter,Rare Buyer
330,Crystal Mitchell,thomasmaria@example.net,Uganda,Crystal,Mitchell,Rare Buyer
331,Charles Lewis,misty32@example.org,Mayotte,Charles,Lewis,Rare Buyer
332,Heather Ramirez,kevin60@example.com,Dominica,Heather,Ramirez,Rare Buyer
